City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,taveta,-3.3963,37.6736,21.5,87,100,1.0,KE,1680493823
305,mao,39.8885,4.2658,12.31,66,0,10.8,ES,1680493823
306,alexandria,31.2156,29.9553,12.3,53,1,4.18,EG,1680493823
307,berlevag,70.8578,29.0864,-3.03,68,97,9.9,NO,1680493823
308,jalpan,21.2333,-99.4833,23.43,83,99,1.51,MX,1680493824
309,anadyr,64.75,177.4833,-13.72,85,75,7.0,RU,1680493824
310,jumla,29.2747,82.1838,12.84,45,4,2.03,NP,1680493824
311,leningradskiy,69.3833,178.4167,-20.97,89,100,4.65,RU,1680493824
312,nemuro,43.3236,145.575,3.04,62,0,4.13,JP,1680493824
313,dogondoutchi,13.6393,4.0287,23.99,11,9,3.99,NE,1680493825
314,lorengau,-2.0226,147.2712,28.57,77,90,4.34,PG,1680493825
315,bang rakam,16.7585,100.1174,35.54,45,20,2.06,TH,1680493826
316,muros,42.7762,-9.0603,8.8,85,88,1.68,ES,1680493826
317,beringovskiy,63.05,179.3167,-4.39,94,100,2.27,RU,1680493826
318,hobyo,5.3505,48.5268,28.59,72,32,2.79,SO,1680493826
319,te anau,-45.4167,167.7167,15.47,50,65,1.12,NZ,1680493826
320,krasnoselkup,65.7,82.4667,-4.77,88,70,5.47,RU,1680493826
321,victoria,22.2855,114.1577,23.44,89,100,1.34,HK,1680493664
322,mocuba,-16.8392,36.9856,21.27,89,100,1.73,MZ,1680493827
323,soe,-9.8607,124.284,26.93,54,99,1.6,ID,1680493827
324,maiduguri,11.8464,13.1603,24.18,13,36,2.51,NG,1680493828
325,qixingtai,30.4135,111.8874,17.7,94,100,3.77,CN,1680493828
326,mobaye,4.319,21.1786,23.46,70,61,1.59,CF,1680493828
327,tres arroyos,-38.3739,-60.2798,16.18,63,100,2.57,AR,1680493828
328,roanoke rapids,36.4615,-77.6542,9.36,93,0,2.06,US,1680493828
329,maldonado,-34.6667,-54.9167,18.66,64,90,2.0,UY,1680493828
330,villa bruzual,9.3328,-69.1208,24.98,72,21,2.18,VE,1680493828
331,olinda,-8.0089,-34.8553,27.85,69,75,1.54,BR,1680493745
332,agadir,30.4202,-9.5982,17.25,85,1,1.88,MA,1680493829
333,baie-comeau,49.2168,-68.1489,-9.18,45,0,7.72,CA,1680493597
334,gamba,-2.65,10.0,24.06,93,100,4.28,GA,1680493829
335,serebryansk,49.6925,83.2892,-5.58,74,20,2.46,KZ,1680493832
336,naze,28.3667,129.4833,20.51,66,3,9.05,JP,1680493833
337,mahebourg,-20.4081,57.7,26.81,94,75,3.6,MU,1680493833
338,umuahia,5.5263,7.4896,24.67,89,74,1.83,NG,1680493833
339,alofi,-19.0595,-169.9187,26.94,78,36,7.2,NU,1680493833
340,phonhong,18.5007,102.4166,36.22,26,36,0.25,LA,1680493833
341,eyl,7.9803,49.8164,27.66,72,29,1.98,SO,1680493833
342,sidi ali,36.0998,0.4206,10.08,49,1,1.71,DZ,1680493833
343,byron bay,-28.65,153.6167,19.28,75,40,3.17,AU,1680493833
344,olafsvik,64.8945,-23.7142,3.73,84,100,6.69,IS,1680493833
345,norman wells,65.282,-126.8329,-6.98,53,40,2.57,CA,1680493833
346,rock sound,24.9,-76.2,24.91,73,6,1.16,BS,1680493834
347,seoul,37.5683,126.9778,22.76,16,0,4.12,KR,1680493834
348,ozinki,51.1786,49.6769,7.17,51,64,3.95,RU,1680493834
349,oistins,13.0667,-59.5333,26.05,73,20,8.75,BB,1680493834
350,sao felix do xingu,-6.6447,-51.995,21.27,99,100,0.9,BR,1680493834
351,vila franca do campo,37.7167,-25.4333,11.23,66,57,5.38,PT,1680493835
352,benghazi,32.1167,20.0667,17.26,79,15,7.39,LY,1680493835
353,plouzane,48.3833,-4.6167,8.03,76,100,3.09,FR,1680493835
354,ingham,42.6,-84.3833,4.92,76,0,5.14,US,1680493835
355,muzhi,65.3667,64.6667,-6.31,74,15,6.53,RU,1680493835
